Condition,L2,Linf,SSIM
brightness_0.5,80.24249572753907,133.8,0.7075530570007753
brightness_0.6,64.34659614562989,108.1,0.8205038052126039
brightness_0.7,48.44067726135254,84.1,0.902887778774638
brightness_0.8,32.32888984680176,58.2,0.9590406769748967
brightness_0.9,16.431706523895265,34.7,0.9884570133656432
brightness_1.1,13.190870380401611,34.5,0.9865797685792955
brightness_1.2,23.533861541748045,56.9,0.9623409634631341
brightness_1.3,32.0236780166626,73.7,0.9334998812616305
brightness_1.4,39.63774948120117,88.0,0.8995348823799917
brightness_1.5,46.27987632751465,102.8,0.8634117460524319
compression_10,14.636396217346192,141.1,0.792561123063844
compression_20,11.3323148727417,117.0,0.8658219079012779
compression_30,9.443013572692871,94.9,0.9039306188635496
compression_40,8.625113391876221,93.1,0.9157000317549941
compression_50,8.191229104995728,96.6,0.9346773068296598
compression_60,5.246708726882934,53.4,0.9736100252733006
compression_70,2.6228660106658936,29.5,0.9926802155741145
compression_80,2.306405448913574,23.8,0.9937745628863942
compression_90,1.8684519410133362,23.1,0.9960485344322135
contrast_0.5,40.31013946533203,75.3,0.8088033358052055
contrast_0.6,32.25868740081787,61.6,0.8661863665182965
contrast_0.7,24.21473617553711,49.1,0.9120909529623281
contrast_0.8,16.1635422706604,37.7,0.9510153174011042
contrast_0.9,8.158610534667968,25.3,0.9808813645412666
contrast_1.1,6.88351263999939,23.1,0.9727889426298282
contrast_1.2,12.371970844268798,33.4,0.9268906922024073
contrast_1.3,16.945915031433106,42.8,0.882213285953829
contrast_1.4,20.665458297729494,50.6,0.843291963284176
contrast_1.5,23.77715892791748,58.4,0.8104185635193067
fgsm_0.033,6.511879950761795,29.0,0.8617093336020444
fgsm_0.067,12.697766190767288,45.9,0.6906578007810869
fgsm_0.1,17.959308606386184,63.6,0.588641909989309
fgsm_0.133,23.04644220471382,79.0,0.5149739743765382
fgsm_0.167,28.646236020326615,98.2,0.4508795222806044
fgsm_0.2,33.80125463604927,115.3,0.4025912177541346
fgsm_0.233,38.8467700779438,133.1,0.3629678892320303
fgsm_0.267,44.03719785809517,149.1,0.32802912616899826
fgsm_0.3,48.5426311314106,162.1,0.30163463626971504
gaussian_blur_0.3,0.8527257740497589,15.5,0.9990712716509682
gaussian_blur_0.6,7.852869510650635,88.8,0.951815863053065
gaussian_blur_0.9,12.406909561157226,137.1,0.8695201103892571
gaussian_blur_1.2,14.60416555404663,155.6,0.813227791324558
gaussian_blur_1.5,15.824152565002441,167.1,0.7786192798086118
gaussian_blur_1.8,16.407815170288085,172.1,0.76115488461043
gaussian_blur_2.1,16.8330286026001,175.6,0.7481418102277173
gaussian_blur_2.4,17.199195384979248,178.5,0.7367622938207273
gaussian_blur_2.7,17.35243797302246,179.7,0.7320090198814309
gaussian_blur_3.0,17.561905097961425,181.5,0.725308247468967
gaussian_noise_0.02,3.923525905609131,21.7,0.9201365494531801
gaussian_noise_0.04,7.477057838439942,38.1,0.795287618430369
gaussian_noise_0.06,10.783155155181884,55.7,0.6912579605941109
gaussian_noise_0.08,13.966455268859864,71.7,0.6080233370915626
gaussian_noise_0.1,17.09290008544922,91.1,0.541292114181284
gaussian_noise_0.12,20.163211059570312,105.9,0.4862536936843168
gaussian_noise_0.14,23.167642021179198,124.1,0.4405288570415832
gaussian_noise_0.16,26.11951313018799,139.0,0.4011971364202778
gaussian_noise_0.18,28.978105545043945,153.2,0.36772415992695096
gaussian_noise_0.2,31.817956352233885,167.4,0.337797720294159
hue_-0.1,1.1325283169746398,15.8,0.9980861281783511
hue_-0.2,1.1325283169746398,15.8,0.9980861281783511
hue_-0.3,1.1325283169746398,15.8,0.9980861281783511
hue_-0.4,1.1325283169746398,15.8,0.9980861281783511
hue_-0.5,1.131830957200792,15.777777777777779,0.998100508425019
hue_0.1,1.01646546125412,15.5,0.9981671185497977
hue_0.2,1.01646546125412,15.5,0.9981671185497977
hue_0.3,1.01646546125412,15.5,0.9981671185497977
hue_0.4,1.01646546125412,15.5,0.9981671185497977
hue_0.5,1.01646546125412,15.5,0.9981671185497977
rotation_-12,76.70266723632812,255.0,0.2896135461708594
rotation_-16,84.60888061523437,255.0,0.26662843198802677
rotation_-20,91.19627838134765,255.0,0.24786730316892358
rotation_-4,54.35996780395508,255.0,0.35081059360157224
rotation_-8,67.26313247680665,255.0,0.31552250750307476
rotation_12,75.8241584777832,255.0,0.28943945392117276
rotation_16,83.63977584838867,255.0,0.26628884554217214
rotation_20,90.26091918945312,255.0,0.24742498046921027
rotation_4,53.98602561950683,255.0,0.350664644377845
rotation_8,66.6154712677002,255.0,0.31548861433831565
saturation_0.5,9.622619342803954,69.7,0.99273363879371
saturation_0.6,7.705437135696411,57.9,0.9943515247887156
saturation_0.7,5.793717861175537,44.9,0.9959357343035469
saturation_0.8,3.925851845741272,33.6,0.9968683610737908
saturation_0.9,2.1500687479972838,23.2,0.997649257577103
saturation_1.1,2.1879226207733153,16.1,0.9974910634673055
saturation_1.2,3.895448088645935,22.8,0.9967901688782389
saturation_1.3,5.610142183303833,32.2,0.9954828861562213
saturation_1.4,7.374322414398193,40.1,0.9942086787634636
saturation_1.5,9.161238956451417,48.7,0.9924073294530672
